item_druid,collection_druid,New Work Type,New Subtype 1,New Subtype 2,New Subtype 3,New Subtype 4
hz541vw7191,tb053xc7429,Text,Journal/periodical issue,,,
th539tz9584,tb053xc7429,Text,Journal/periodical issue,,,
xc041nm6644,tb053xc7429,Text,Journal/periodical issue,,,
hc923xg4969,tb053xc7429,Text,Journal/periodical issue,,,
ng777pg7303,tb053xc7429,Text,Journal/periodical issue,,,
mk750cq3666,tb053xc7429,Text,Journal/periodical issue,,,
kk547qw0227,tb053xc7429,Text,Journal/periodical issue,,,
zx843tr5595,tb053xc7429,Text,Journal/periodical issue,,,
xz824mh7035,tb053xc7429,Text,Journal/periodical issue,,,
wm869sd7989,tb053xc7429,Text,Journal/periodical issue,,,
wz462kf1067,tb053xc7429,Text,Journal/periodical issue,,,
kc776jq4465,tb053xc7429,Text,Journal/periodical issue,,,
tf661fw3407,tb053xc7429,Text,Journal/periodical issue,,,
mx504pk1351,tb053xc7429,Text,Journal/periodical issue,,,
ps222gg8737,tb053xc7429,Text,Journal/periodical issue,,,
hb487pj0540,tb053xc7429,Text,Journal/periodical issue,,,
sg445td9936,tb053xc7429,Text,Journal/periodical issue,,,
cy677zd4655,tb053xc7429,Text,Journal/periodical issue,,,
hz989kd3105,tb053xc7429,Text,Journal/periodical issue,,,
nd703th5639,tb053xc7429,Text,Journal/periodical issue,,,
xs660tn7966,tb053xc7429,Text,Journal/periodical issue,,,
fy212rn0422,tb053xc7429,Text,Journal/periodical issue,,,
vx639mk0514,tb053xc7429,Text,Journal/periodical issue,,,
rt272wm3670,tb053xc7429,Text,Journal/periodical issue,,,
kc207pj3289,tb053xc7429,Text,Journal/periodical issue,,,
jg173yf3259,tb053xc7429,Text,Journal/periodical issue,,,
bf574nq8973,tb053xc7429,Text,Journal/periodical issue,,,
qv982rs5006,tb053xc7429,Text,Journal/periodical issue,,,
bn261qk2343,tb053xc7429,Text,Journal/periodical issue,,,
jy636dp3094,tb053xc7429,Text,Journal/periodical issue,,,
jm382km7468,tb053xc7429,Text,Journal/periodical issue,,,
nt853fk0668,tb053xc7429,Text,Journal/periodical issue,,,
gk021wt1576,tb053xc7429,Text,Journal/periodical issue,,,
ph578wy3530,tb053xc7429,Text,Journal/periodical issue,,,
yq238pw8958,tb053xc7429,Text,Journal/periodical issue,,,
rp789vf6321,tb053xc7429,Text,Journal/periodical issue,,,
bf204zh4739,tb053xc7429,Text,Journal/periodical issue,,,
rg472rf5443,tb053xc7429,Text,Journal/periodical issue,,,
jt515yr4631,tb053xc7429,Text,Journal/periodical issue,,,
sg958tm2436,tb053xc7429,Text,Journal/periodical issue,,,
ns965bn7910,tb053xc7429,Text,Journal/periodical issue,,,
pg208qz6479,tb053xc7429,Text,Journal/periodical issue,,,
cw160fz7056,tb053xc7429,Text,Journal/periodical issue,,,
xg209hc7842,tb053xc7429,Text,Journal/periodical issue,,,
zn662hh8792,tb053xc7429,Text,Journal/periodical issue,,,
fn908qp3812,tb053xc7429,Text,Journal/periodical issue,,,
jf039vj8883,tb053xc7429,Text,Journal/periodical issue,,,
sk463jy6536,tb053xc7429,Text,Journal/periodical issue,,,
gt702rn1905,tb053xc7429,Text,Journal/periodical issue,,,
vp360kv7629,tb053xc7429,Text,Journal/periodical issue,,,
sx324kq4239,tb053xc7429,Text,Journal/periodical issue,,,
bs212tg9847,tb053xc7429,Text,Journal/periodical issue,,,
qt868rq2644,tb053xc7429,Text,Journal/periodical issue,,,
wn290dd8588,tb053xc7429,Text,Journal/periodical issue,,,
vr174qb2453,tb053xc7429,Text,Journal/periodical issue,,,
fg669yz4872,tb053xc7429,Text,Journal/periodical issue,,,
sz159yf7931,tb053xc7429,Text,Journal/periodical issue,,,
td762cj3865,tb053xc7429,Text,Journal/periodical issue,,,
rj246mr5073,tb053xc7429,Text,Journal/periodical issue,,,
mj545rs5260,tb053xc7429,Text,Journal/periodical issue,,,
nz225pf3534,tb053xc7429,Text,Journal/periodical issue,,,
zn547js2934,tb053xc7429,Text,Journal/periodical issue,,,
my191wh8047,tb053xc7429,Text,Journal/periodical issue,,,
pq328pw2858,tb053xc7429,Text,Journal/periodical issue,,,
qj091yt8597,tb053xc7429,Text,Journal/periodical issue,,,
cp906cc7121,tb053xc7429,Text,Journal/periodical issue,,,
vr809nc4211,tb053xc7429,Text,Journal/periodical issue,,,
dq747vk7973,tb053xc7429,Text,Journal/periodical issue,,,
tq091jx5921,tb053xc7429,Text,Journal/periodical issue,,,
kz695ry7359,tb053xc7429,Text,Journal/periodical issue,,,
qj195yt2888,tb053xc7429,Text,Journal/periodical issue,,,
gy070km4725,tb053xc7429,Text,Journal/periodical issue,,,
bb383yy1645,tb053xc7429,Text,Journal/periodical issue,,,
xc565sw2276,tb053xc7429,Text,Journal/periodical issue,,,
dd355wm4461,tb053xc7429,Text,Journal/periodical issue,,,
dw517vs9217,tb053xc7429,Text,Journal/periodical issue,,,
tx318pr4211,tb053xc7429,Text,Journal/periodical issue,,,
rh660hj0247,tb053xc7429,Text,Journal/periodical issue,,,
rm691xt7022,tb053xc7429,Text,Journal/periodical issue,,,
bm447rk7540,tb053xc7429,Text,Journal/periodical issue,,,
zc301sn2006,tb053xc7429,Text,Journal/periodical issue,,,
pc028yh8960,tb053xc7429,Text,Journal/periodical issue,,,
wf580mp5534,tb053xc7429,Text,Journal/periodical issue,,,
jq372xy5848,tb053xc7429,Text,Journal/periodical issue,,,
vk089dz6571,tb053xc7429,Text,Journal/periodical issue,,,
ks528mj7577,tb053xc7429,Text,Journal/periodical issue,,,
cj003wk3490,tb053xc7429,Text,Journal/periodical issue,,,
fc099hs7837,tb053xc7429,Text,Journal/periodical issue,,,
mh739nh1569,tb053xc7429,Text,Journal/periodical issue,,,
cn819tr0613,tb053xc7429,Text,Journal/periodical issue,,,
mp282fy8914,tb053xc7429,Text,Journal/periodical issue,,,
mq009wj1345,tb053xc7429,Text,Journal/periodical issue,,,
hv067fz0150,tb053xc7429,Text,Journal/periodical issue,,,
tf460xr7448,tb053xc7429,Text,Journal/periodical issue,,,
fb730mz2650,tb053xc7429,Text,Journal/periodical issue,,,
cs381js3691,tb053xc7429,Text,Journal/periodical issue,,,
xx252sh4206,tb053xc7429,Text,Journal/periodical issue,,,
nm869mb8618,tb053xc7429,Text,Journal/periodical issue,,,
nt336zt8603,tb053xc7429,Text,Journal/periodical issue,,,
sy927xh9353,tb053xc7429,Text,Journal/periodical issue,,,
mm546fr3890,tb053xc7429,Text,Journal/periodical issue,,,
kk645gv9631,tg242xv5347,Text,Technical report,Manuscript,,
zp180fx3479,tg242xv5347,Text,Technical report,Manuscript,,
nm468dw8286,tg242xv5347,Text,Technical report,Manuscript,,
fs387zf7235,tg242xv5347,Text,Technical report,Manuscript,,
qv461cq8449,ts832qz8693,Text,Documentation,,,
hk349dn1751,ts832qz8693,Text,Documentation,,,
dw464nx2179,tz959sb6952,Text,White paper,Conference session,,
qr172kx7896,tz959sb6952,Text,White paper,Conference session,,
wc333hh5393,tz959sb6952,Text,White paper,Conference session,,
wg827ks1643,tz959sb6952,Text,White paper,Conference session,,
cx844yp3164,tz959sb6952,Text,White paper,Conference session,,
mv421rg3034,tz959sb6952,Text,White paper,Conference session,,
xv847bw0331,tz959sb6952,Text,Documentation,Conference session,,
yk133ht8603,tz959sb6952,Text,White paper,,,
cd292zy7226,wh620hw5859,Text,Database,Data,Documentation,
qj782qq2957,wh620hw5859,Text,White paper,,,
wy885hv4322,ww293jb1489,Text,Documentation,,,
yh493yp7330,xf370bb6498,Text,Journal/periodical issue,,,
bk096pj1080,xf370bb6498,Text,Journal/periodical issue,,,
ng049qw3045,xf370bb6498,Text,Journal/periodical issue,,,
cw041nc3778,xm889sd1281,Text,Journal/periodical issue,,,
hk941pc2056,xm889sd1281,Text,Journal/periodical issue,,,
wg929fg7824,xm889sd1281,Text,Journal/periodical issue,,,
ps931xq2174,xm889sd1281,Text,Journal/periodical issue,,,
gm258tw7523,xm889sd1281,Text,Journal/periodical issue,,,
rz976nz3153,xm889sd1281,Text,Journal/periodical issue,,,
sf211tp9402,xm889sd1281,Text,Journal/periodical issue,,,
qv352qx7653,xm889sd1281,Text,Journal/periodical issue,,,
pw395wd2342,xm889sd1281,Text,Journal/periodical issue,,,
df816jh3272,xm889sd1281,Text,Journal/periodical issue,,,
tc068kx4971,xm889sd1281,Text,Journal/periodical issue,,,
rq959hq3465,xm889sd1281,Text,Journal/periodical issue,,,
gh470hv2652,xm889sd1281,Text,Journal/periodical issue,,,
rb560jz5549,xm889sd1281,Text,Journal/periodical issue,,,
jf401xk8707,xm889sd1281,Text,Journal/periodical issue,,,
mb544hn1595,xm889sd1281,Text,Journal/periodical issue,,,
xx459ks3654,xm889sd1281,Text,Journal/periodical issue,,,
hw224gz8630,xm889sd1281,Text,Journal/periodical issue,,,
vn310ry6452,xm889sd1281,Text,Journal/periodical issue,,,
hr645qb3218,xm889sd1281,Text,Journal/periodical issue,,,
pj982hg7387,xm889sd1281,Text,Journal/periodical issue,,,
fw597ff2909,xm889sd1281,Text,Journal/periodical issue,,,
mw665zp7784,xm889sd1281,Text,Journal/periodical issue,,,
xq409mw3232,xm889sd1281,Text,Journal/periodical issue,,,
qs738yq3868,xm889sd1281,Text,Journal/periodical issue,,,
hj313jk9829,xm889sd1281,Text,Journal/periodical issue,,,
zr673qd8944,xm889sd1281,Text,Journal/periodical issue,,,
mb585bc5856,xm889sd1281,Text,Journal/periodical issue,,,
fr955mm8067,xm889sd1281,Text,Journal/periodical issue,,,
hp784ff9084,xm889sd1281,Text,Journal/periodical issue,,,
yj635sg2521,xm889sd1281,Text,Journal/periodical issue,,,
zq313kv5877,xm889sd1281,Text,Journal/periodical issue,,,
gz224ym2826,xm889sd1281,Text,Journal/periodical issue,,,
xn938qj9866,xm889sd1281,Text,Journal/periodical issue,,,
sk859kb3586,xm889sd1281,Text,Journal/periodical issue,,,
gs917cd4044,xm889sd1281,Text,Journal/periodical issue,,,
pj778jr3761,xm889sd1281,Text,Journal/periodical issue,,,
ry182bs1287,xm889sd1281,Text,Journal/periodical issue,,,
zv325yg2568,xm889sd1281,Text,Journal/periodical issue,,,
nh103yw3374,xm889sd1281,Text,Journal/periodical issue,,,
nq175vk2126,xm889sd1281,Text,Journal/periodical issue,,,
nd302br3459,xm889sd1281,Text,Journal/periodical issue,,,
kw368cc7259,xm889sd1281,Text,Journal/periodical issue,,,
xx100td4196,xm889sd1281,Text,Journal/periodical issue,,,
qx197sz6221,xm889sd1281,Text,Journal/periodical issue,,,
nt419dp2533,xm889sd1281,Text,Journal/periodical issue,,,
sb782cn3255,xm889sd1281,Text,Journal/periodical issue,,,
dv470cf8833,xm889sd1281,Text,Journal/periodical issue,,,
ty050zf8370,xm889sd1281,Text,Journal/periodical issue,,,
kg176mt1011,xm889sd1281,Text,Journal/periodical issue,,,
rv976vk5247,xm889sd1281,Text,Journal/periodical issue,,,
hm365tk3950,xm889sd1281,Text,Journal/periodical issue,,,
gg216tj2233,xm889sd1281,Text,Journal/periodical issue,,,
tj495jx9542,xm889sd1281,Text,Journal/periodical issue,,,
rn460hv7244,xm889sd1281,Text,Journal/periodical issue,,,
tp238jy6249,xm889sd1281,Text,Journal/periodical issue,,,
sr501jn0902,xm889sd1281,Text,Journal/periodical issue,,,
yg920xt0041,xm889sd1281,Text,Journal/periodical issue,,,
kv864qh1983,xm889sd1281,Text,Journal/periodical issue,,,
bb926bm7956,xm889sd1281,Text,Journal/periodical issue,,,
yq675ph1015,xm889sd1281,Text,Journal/periodical issue,,,
fw748tv7909,xm889sd1281,Text,Journal/periodical issue,,,
xn279zc1155,xm889sd1281,Text,Journal/periodical issue,,,
hv473vt5739,xm889sd1281,Text,Journal/periodical issue,,,
kz438vp2289,xm889sd1281,Text,Journal/periodical issue,,,
vm674vs5744,xm889sd1281,Text,Journal/periodical issue,,,
pf110ws8130,xm889sd1281,Text,Journal/periodical issue,,,
dw280pw6614,xm889sd1281,Text,Journal/periodical issue,,,
zk083ng6864,xm889sd1281,Text,Journal/periodical issue,,,
fd138vs6694,xm889sd1281,Text,Journal/periodical issue,,,
ys184jw9693,xm889sd1281,Text,Journal/periodical issue,,,
yz053fk5890,xm889sd1281,Text,Journal/periodical issue,,,
dp415kv4658,xm889sd1281,Text,Journal/periodical issue,,,
yv452bt5312,xm889sd1281,Text,Journal/periodical issue,,,
rw829bc8104,xm889sd1281,Text,Journal/periodical issue,,,
my781gn0843,xm889sd1281,Text,Journal/periodical issue,,,
sf324xb6069,xm889sd1281,Text,Journal/periodical issue,,,
mq478qt9047,xm889sd1281,Text,Journal/periodical issue,,,
wk619ny4273,xm889sd1281,Text,Journal/periodical issue,,,
hv499jt2305,xm889sd1281,Text,Journal/periodical issue,,,
fj128wr7696,xm889sd1281,Text,Journal/periodical issue,,,
jw119rc4783,xm889sd1281,Text,Journal/periodical issue,,,
dv887rq3278,xm889sd1281,Text,Journal/periodical issue,,,
bz974wm9742,xm889sd1281,Text,Journal/periodical issue,,,
rb133ts2063,xm889sd1281,Text,Journal/periodical issue,,,
vf756wn3110,xm889sd1281,Text,Journal/periodical issue,,,
zz578dc6876,xm889sd1281,Text,Journal/periodical issue,,,
pg705fq8727,xm889sd1281,Text,Journal/periodical issue,,,
rw251jg6635,xm889sd1281,Text,Journal/periodical issue,,,
yg505nr6673,xm889sd1281,Text,Journal/periodical issue,,,
dt736vx2155,xm889sd1281,Text,Journal/periodical issue,,,
km931fg6891,xm889sd1281,Text,Journal/periodical issue,,,
rj504fj7128,xm889sd1281,Text,Journal/periodical issue,,,
mq032zn9612,xm889sd1281,Text,Journal/periodical issue,,,
pr023rn0179,xm889sd1281,Text,Journal/periodical issue,,,
wb386yr0420,xm889sd1281,Text,Journal/periodical issue,,,
rp276dj3497,xm889sd1281,Text,Journal/periodical issue,,,
cn460fk0298,xm889sd1281,Text,Journal/periodical issue,,,
bn050ms4991,xm889sd1281,Text,Journal/periodical issue,,,
jq916fc0388,xm889sd1281,Text,Journal/periodical issue,,,
mx906mx2928,xm889sd1281,Text,Journal/periodical issue,,,
yx138sh6179,xm889sd1281,Text,Journal/periodical issue,,,
yz336rc2698,xm889sd1281,Text,Journal/periodical issue,,,
bd378sq3542,xm889sd1281,Text,Journal/periodical issue,,,
hh392rb1444,xm889sd1281,Text,Journal/periodical issue,,,
kj524jq9238,xm889sd1281,Text,Journal/periodical issue,,,
jz837ys6174,xm889sd1281,Text,Journal/periodical issue,,,
sy439nm4532,xm889sd1281,Text,Journal/periodical issue,,,
yy185zk1387,xm889sd1281,Text,Journal/periodical issue,,,
ct598mm8754,xm889sd1281,Text,Journal/periodical issue,,,
bg930gc4574,xm889sd1281,Text,Journal/periodical issue,,,
bm423yc2547,xm889sd1281,Text,Journal/periodical issue,,,
jb405pm1034,xm889sd1281,Text,Journal/periodical issue,,,
cr015dr5770,xm889sd1281,Text,Journal/periodical issue,,,
zy200hh1251,xm889sd1281,Text,Journal/periodical issue,,,
gt961ww1337,xm889sd1281,Text,Journal/periodical issue,,,
sx866kx0380,xm889sd1281,Text,Journal/periodical issue,,,
np593hp3407,xm889sd1281,Text,Journal/periodical issue,,,
mp525zt3982,xm889sd1281,Text,Journal/periodical issue,,,
bp632rg7076,xm889sd1281,Text,Journal/periodical issue,,,
qn989jm6621,xm889sd1281,Text,Journal/periodical issue,,,
bj285rv5005,xm889sd1281,Text,Journal/periodical issue,,,
gz907sy6836,xm889sd1281,Text,Journal/periodical issue,,,
jz286cq5647,xm889sd1281,Text,Journal/periodical issue,,,
jh586pf2023,xm889sd1281,Text,Journal/periodical issue,,,
pq074ss3132,xm889sd1281,Text,Journal/periodical issue,,,
tq191kt8898,xm889sd1281,Text,Journal/periodical issue,,,
dq859zk0455,xm889sd1281,Text,Journal/periodical issue,,,
wt945rm7524,xm889sd1281,Text,Journal/periodical issue,,,
nz987fv3003,xm889sd1281,Text,Journal/periodical issue,,,
hc150bf2294,xm889sd1281,Text,Journal/periodical issue,,,
rs978qm8405,xm889sd1281,Text,Journal/periodical issue,,,
xx162bn9137,xm889sd1281,Text,Journal/periodical issue,,,
nb394fx6728,xm889sd1281,Text,Journal/periodical issue,,,
qr693xv4926,xm889sd1281,Text,Journal/periodical issue,,,
by380rc4102,xm889sd1281,Text,Journal/periodical issue,,,
yc625yb8510,xm889sd1281,Text,Journal/periodical issue,,,
tn076jk4025,xm889sd1281,Text,Journal/periodical issue,,,
nv478dv5504,xm889sd1281,Text,Journal/periodical issue,,,
fz511bb3962,xm889sd1281,Text,Journal/periodical issue,,,
ry151xs3554,xm889sd1281,Text,Journal/periodical issue,,,
vz433fm4957,xm889sd1281,Text,Journal/periodical issue,,,
gs484gm3387,xm889sd1281,Text,Journal/periodical issue,,,
rc789xc7262,xm889sd1281,Text,Journal/periodical issue,,,
xy543yy9010,xm889sd1281,Text,Journal/periodical issue,,,
hj902zk0146,xm889sd1281,Text,Journal/periodical issue,,,
jz783nn2040,xm889sd1281,Text,Journal/periodical issue,,,
kc518qb4971,xm889sd1281,Text,Journal/periodical issue,,,
yb583sg5273,xm889sd1281,Text,Journal/periodical issue,,,
hj557by5566,xm889sd1281,Text,Journal/periodical issue,,,
wc249sg7317,xm889sd1281,Text,Journal/periodical issue,,,
pv866bn3862,xm889sd1281,Text,Journal/periodical issue,,,
wz587jp8340,xm889sd1281,Text,Journal/periodical issue,,,
hq641ft6061,xm889sd1281,Text,Journal/periodical issue,,,
pk257mn8571,xm889sd1281,Text,Journal/periodical issue,,,
sv505qq7859,xm889sd1281,Text,Journal/periodical issue,,,
wq958rp1567,xm889sd1281,Text,Journal/periodical issue,,,
qd419fg5757,xm889sd1281,Text,Journal/periodical issue,,,
vz582rh5121,xm889sd1281,Text,Journal/periodical issue,,,
sm143ct1942,xm889sd1281,Text,Journal/periodical issue,,,
wv767fw9958,xm889sd1281,Text,Journal/periodical issue,,,
zp615dt8160,xm889sd1281,Text,Journal/periodical issue,,,
vh414vj7107,xm889sd1281,Text,Journal/periodical issue,,,
dr163jr5503,xm889sd1281,Text,Journal/periodical issue,,,
pg934cz5905,xm889sd1281,Text,Journal/periodical issue,,,
jz485hm8771,xm889sd1281,Text,Journal/periodical issue,,,
cn993nx3357,xm889sd1281,Text,Journal/periodical issue,,,
vk053jj1711,xm889sd1281,Text,Journal/periodical issue,,,
sx574hh1239,xm889sd1281,Text,Journal/periodical issue,,,
rs999cp1785,xm889sd1281,Text,Journal/periodical issue,,,
yz468zq2178,xm889sd1281,Text,Journal/periodical issue,,,
fd558bs2796,xm889sd1281,Text,Journal/periodical issue,,,
mc698py9598,xm889sd1281,Text,Journal/periodical issue,,,
zs171ck8172,xm889sd1281,Text,Journal/periodical issue,,,
vp698tg9968,xm889sd1281,Text,Journal/periodical issue,,,
mn651kk1435,xm889sd1281,Text,Journal/periodical issue,,,
br316sm9663,xm889sd1281,Text,Journal/periodical issue,,,
zy383gd6427,xm889sd1281,Text,Journal/periodical issue,,,
cy187cd2382,xm889sd1281,Text,Journal/periodical issue,,,
td420kt6864,xm889sd1281,Text,Journal/periodical issue,,,
nm707bz6435,xm889sd1281,Text,Journal/periodical issue,,,
gn685zr6853,xm889sd1281,Text,Journal/periodical issue,,,
hr953jr8589,xm889sd1281,Text,Journal/periodical issue,,,
jf097kr4410,xm889sd1281,Text,Journal/periodical issue,,,
gn469kd5642,xm889sd1281,Text,Journal/periodical issue,,,
hq633wk7039,xm889sd1281,Text,Journal/periodical issue,,,
tm540km6559,xm889sd1281,Text,Journal/periodical issue,,,
jm147vg7670,xm889sd1281,Text,Journal/periodical issue,,,
mf368my9588,xm889sd1281,Text,Journal/periodical issue,,,
xn379vc0687,xm889sd1281,Text,Journal/periodical issue,,,
ws589wm5574,xm889sd1281,Text,Journal/periodical issue,,,
vy490nx5262,xm889sd1281,Text,Journal/periodical issue,,,
qb320gz9216,xm889sd1281,Text,Journal/periodical issue,,,
vs545qf7405,xm889sd1281,Text,Journal/periodical issue,,,
sx595qy8525,xm889sd1281,Text,Journal/periodical issue,,,
dg571mf3348,xm889sd1281,Text,Journal/periodical issue,,,
jm387ks0421,xm889sd1281,Text,Journal/periodical issue,,,
fw967dn6571,xm889sd1281,Text,Journal/periodical issue,,,
wj560mq0075,xm889sd1281,Text,Journal/periodical issue,,,
jh675fb0347,xm889sd1281,Text,Journal/periodical issue,,,
sb127qm0353,xm889sd1281,Text,Journal/periodical issue,,,
jm078pp3512,xm889sd1281,Text,Journal/periodical issue,,,
zb916qf7640,xm889sd1281,Text,Journal/periodical issue,,,
jv704br7569,xm889sd1281,Text,Journal/periodical issue,,,
dk032cr3378,xm889sd1281,Text,Journal/periodical issue,,,
zf491tj8657,xm889sd1281,Text,Journal/periodical issue,,,
pz354rt0251,xm889sd1281,Text,Journal/periodical issue,,,
zd484kf1651,xm889sd1281,Text,Journal/periodical issue,,,
xm243rc1927,xm889sd1281,Text,Journal/periodical issue,,,
jh308mn8859,xm889sd1281,Text,Journal/periodical issue,,,
wd891zf2150,xm889sd1281,Text,Journal/periodical issue,,,
wj356jq8195,xm889sd1281,Text,Journal/periodical issue,,,
cy684xf6747,xm889sd1281,Text,Journal/periodical issue,,,
sj883xg0809,xm889sd1281,Text,Journal/periodical issue,,,
bx108jk1664,xm889sd1281,Text,Journal/periodical issue,,,
vf974rw3114,xm889sd1281,Text,Journal/periodical issue,,,
wm313pk6768,xm889sd1281,Text,Journal/periodical issue,,,
md466wp1432,xm889sd1281,Text,Journal/periodical issue,,,
gv819bm4746,xm889sd1281,Text,Journal/periodical issue,,,
jm506cg2192,xm889sd1281,Text,Journal/periodical issue,,,
st338hn0361,xm889sd1281,Text,Journal/periodical issue,,,
rr383xm8316,xm889sd1281,Text,Journal/periodical issue,,,
gk408gx2285,xm889sd1281,Text,Journal/periodical issue,,,
kn657nb4863,xm889sd1281,Text,Journal/periodical issue,,,
kf505sy8748,xm889sd1281,Text,Journal/periodical issue,,,
my411fn2548,xm889sd1281,Text,Journal/periodical issue,,,
dd485dx1965,xm889sd1281,Text,Journal/periodical issue,,,
ym278jj6953,xm889sd1281,Text,Journal/periodical issue,,,
gp379bc1073,xm889sd1281,Text,Journal/periodical issue,,,
cd914wr4396,xm889sd1281,Text,Journal/periodical issue,,,
fp609rp3000,xm889sd1281,Text,Journal/periodical issue,,,
gj812wy1418,xm889sd1281,Text,Journal/periodical issue,,,
ry329nw6161,xm889sd1281,Text,Journal/periodical issue,,,
wz562dk7021,xm889sd1281,Text,Journal/periodical issue,,,
rs339sf4231,xm889sd1281,Text,Journal/periodical issue,,,
ym918hb5032,xm889sd1281,Text,Journal/periodical issue,,,
np662jh1568,xm889sd1281,Text,Journal/periodical issue,,,
xx280ck7755,xm889sd1281,Text,Journal/periodical issue,,,
pv060bw2313,xm889sd1281,Text,Journal/periodical issue,,,
km218bj5664,xm889sd1281,Text,Journal/periodical issue,,,
nw502rf3483,xm889sd1281,Text,Journal/periodical issue,,,
gy971fh5124,xm889sd1281,Text,Journal/periodical issue,,,
yh866wb6902,xm889sd1281,Text,Journal/periodical issue,,,
qv759ps0703,xm889sd1281,Text,Journal/periodical issue,,,
ms077fq0155,xm889sd1281,Text,Journal/periodical issue,,,
dc549kt1265,xm889sd1281,Text,Journal/periodical issue,,,
hk750kf9704,xm889sd1281,Text,Journal/periodical issue,,,
dn420yv4089,xm889sd1281,Text,Journal/periodical issue,,,
tn319pj3597,xm889sd1281,Text,Journal/periodical issue,,,
tf321kg7835,xm889sd1281,Text,Journal/periodical issue,,,
hg178nj7348,xm889sd1281,Text,Journal/periodical issue,,,
nr633pm4192,xm889sd1281,Text,Journal/periodical issue,,,
qg567zw2116,xm889sd1281,Text,Journal/periodical issue,,,
yc090bk6515,xm889sd1281,Text,Journal/periodical issue,,,
tk223cx6173,xm889sd1281,Text,Journal/periodical issue,,,
bg958dw2659,xm889sd1281,Text,Journal/periodical issue,,,
qr879zm6838,xm889sd1281,Text,Journal/periodical issue,,,
ry540ts7742,xm889sd1281,Text,Journal/periodical issue,,,
vp727zz3699,xm889sd1281,Text,Journal/periodical issue,,,
pf614mb6934,xm889sd1281,Text,Journal/periodical issue,,,
wh613hg6598,xm889sd1281,Text,Journal/periodical issue,,,
tc162zz8590,xm889sd1281,Text,Journal/periodical issue,,,
yy318dg0061,xm889sd1281,Text,Journal/periodical issue,,,
dy485cq9273,xm889sd1281,Text,Journal/periodical issue,,,
xf907fs5122,xm889sd1281,Text,Journal/periodical issue,,,
nq494fm2382,xm889sd1281,Text,Journal/periodical issue,,,
hj658hs6094,xm889sd1281,Text,Journal/periodical issue,,,
fy230hk7957,xm889sd1281,Text,Journal/periodical issue,,,
nt914gb2661,xm889sd1281,Text,Journal/periodical issue,,,
ys424ph4491,xm889sd1281,Text,Journal/periodical issue,,,
dc917qr2688,xm889sd1281,Text,Journal/periodical issue,,,
ft303rz1634,xm889sd1281,Text,Journal/periodical issue,,,
tx576jq0218,xm889sd1281,Text,Journal/periodical issue,,,
dv714wg9962,xm889sd1281,Text,Journal/periodical issue,,,
zh773rk3849,xm889sd1281,Text,Journal/periodical issue,,,
sb440cs0788,xm889sd1281,Text,Journal/periodical issue,,,
nf022pf4822,xm889sd1281,Text,Journal/periodical issue,,,
ny414gc8742,xm889sd1281,Text,Journal/periodical issue,,,
yq833xw9329,xm889sd1281,Text,Journal/periodical issue,,,
pp537xs8872,xm889sd1281,Text,Journal/periodical issue,,,
jp370cp3463,xm889sd1281,Text,Journal/periodical issue,,,
xs070vg3160,xm889sd1281,Text,Journal/periodical issue,,,
vc399wz8347,xm889sd1281,Text,Journal/periodical issue,,,
rd819wc6729,xm889sd1281,Text,Journal/periodical issue,,,
zk498wk4314,xm889sd1281,Text,Journal/periodical issue,,,
kc916bs2556,xm889sd1281,Text,Journal/periodical issue,,,
pr844fc1885,xm889sd1281,Text,Journal/periodical issue,,,
wr330dy6307,xm889sd1281,Text,Journal/periodical issue,,,
sr464xh8065,xm889sd1281,Text,Journal/periodical issue,,,
yh228kh4511,xm889sd1281,Text,Journal/periodical issue,,,
jv968ss0744,xm889sd1281,Text,Journal/periodical issue,,,
wp547hs1406,xm889sd1281,Text,Journal/periodical issue,,,
fn465dw9782,xm889sd1281,Text,Journal/periodical issue,,,
wz560wz7480,xm889sd1281,Text,Journal/periodical issue,,,
bz359rz7657,xm889sd1281,Text,Journal/periodical issue,,,
rh609yk4450,xm889sd1281,Text,Journal/periodical issue,,,
yv610wb0842,xm889sd1281,Text,Journal/periodical issue,,,
wn070pb5582,xm889sd1281,Text,Journal/periodical issue,,,
jv340xf2222,xm889sd1281,Text,Journal/periodical issue,,,
pk003vm1843,xm889sd1281,Text,Journal/periodical issue,,,
qm042pz9314,xm889sd1281,Text,Journal/periodical issue,,,
jp338jp9612,xm889sd1281,Text,Journal/periodical issue,,,
yb213sb7521,xm889sd1281,Text,Journal/periodical issue,,,
sp917bp9604,xm889sd1281,Text,Journal/periodical issue,,,
st885yv3513,xm889sd1281,Text,Journal/periodical issue,,,
st907wm0009,xm889sd1281,Text,Journal/periodical issue,,,
kc668vr8560,xm889sd1281,Text,Journal/periodical issue,,,
pn639jr6448,xm889sd1281,Text,Journal/periodical issue,,,
vk012pn4867,xm889sd1281,Text,Journal/periodical issue,,,
jv462cj4402,xm889sd1281,Text,Journal/periodical issue,,,
rs919ff7402,xm889sd1281,Text,Journal/periodical issue,,,
gw699mw4819,xm889sd1281,Text,Journal/periodical issue,,,
wy502cg1965,xm889sd1281,Text,Journal/periodical issue,,,
df889vq8678,xm889sd1281,Text,Journal/periodical issue,,,
sq291fn2326,xm889sd1281,Text,Journal/periodical issue,,,
yz334py8403,xm889sd1281,Text,Journal/periodical issue,,,
xc093bb2215,xm889sd1281,Text,Journal/periodical issue,,,
